dateEQ: 2008-01-28T03:44:01,
magnitude: 0,
Epicenter Lat: 35.299,
Epicenter Long: 36.235,
Depth: 0
AA, MRM, BLZ, 30.59757, 34.76189, 539.272242761, 0
AA, NAZ, BHE, 32.69968, 35.27372, 301.684895105, 0
AA, NAZ, BHN, 32.69968, 35.27372, 301.684895105, 0
AA, NAZ, BHZ, 32.69968, 35.27372, 301.684895105, 0
AA, NAZ, BLE, 32.69968, 35.27372, 301.684895105, 0
AA, NAZ, BLN, 32.69968, 35.27372, 301.684895105, 0
AA, NAZ, BLZ, 32.69968, 35.27372, 301.684895105, 0
AA, NET, BHE, 30.991, 35.362, 484.674008962, 0
AA, NET, BHN, 30.991, 35.362, 484.674008962, 0
AA, NET, BHZ, 30.991, 35.362, 484.674008962, 0
AA, NET, BLE, 30.991, 35.362, 484.674008962, 0
AA, NET, BLN, 30.991, 35.362, 484.674008962, 0
AA, NET, BLZ, 30.991, 35.362, 484.674008962, 0
AA, NTY, BHE, 32.31979, 34.88704, 353.223211785, 0
AA, NTY, BHN, 32.31979, 34.88704, 353.223211785, 0
AA, NTY, BHZ, 32.31979, 34.88704, 353.223211785, 0
AA, NTY, BLE, 32.31979, 34.88704, 353.223211785, 0
AA, NTY, BLN, 32.31979, 34.88704, 353.223211785, 0
AA, NTY, BLZ, 32.31979, 34.88704, 353.223211785, 0
AA, P005, BHE, 31.2352, 35.3677, 457.89325752, 0
AA, P005, BHN, 31.2352, 35.3677, 457.89325752, 0
AA, P005, BHZ, 31.2352, 35.3677, 457.89325752, 0
AA, P005, BLE, 31.2352, 35.3677, 457.89325752, 0
AA, P005, BLN, 31.2352, 35.3677, 457.89325752, 0
AA, P005, BLZ, 31.2352, 35.3677, 457.89325752, 0
AA, P088, BHE, 31.32826, 35.40125, 447.180863747, 0
AA, P088, BHN, 31.32826, 35.40125, 447.180863747, 0
AA, P088, BHZ, 31.32826, 35.40125, 447.180863747, 0
AA, P088, BLE, 31.32826, 35.40125, 447.180863747, 0
AA, P088, BLN, 31.32826, 35.40125, 447.180863747, 0
AA, P088, BLZ, 31.32826, 35.40125, 447.180863747, 0
AA, PET, BHE, 32.08946, 34.87435, 377.670542836, 0
AA, PET, BHN, 32.08946, 34.87435, 377.670542836, 0
AA, PET, BHZ, 32.08946, 34.87435, 377.670542836, 0
AA, PET, BLE, 32.08946, 34.87435, 377.670542836, 0
AA, PET, BLN, 32.08946, 34.87435, 377.670542836, 0
AA, PET, BLZ, 32.08946, 34.87435, 377.670542836, 0
AA, POR, BHE, 32.75144, 35.5405, 289.768238472, 0
AA, POR, BHN, 32.75144, 35.5405, 289.768238472, 0
AA, POR, BHZ, 32.75144, 35.5405, 289.768238472, 0
AA, POR, BLE, 32.75144, 35.5405, 289.768238472, 0
AA, POR, BLN, 32.75144, 35.5405, 289.768238472, 0
AA, POR, BLZ, 32.75144, 35.5405, 289.768238472, 0
AA, RDG, BHE, 32.10414, 34.77757, 379.234218198, 0
AA, RDG, BHN, 32.10414, 34.77757, 379.234218198, 0
AA, RDG, BHZ, 32.10414, 34.77757, 379.234218198, 0
AA, RDG, BLE, 32.10414, 34.77757, 379.234218198, 0
AA, RDG, BLN, 32.10414, 34.77757, 379.234218198, 0
AA, RDG, BLZ, 32.10414, 34.77757, 379.234218198, 0
AA, REH, BHE, 31.87552, 34.81699, 401.869181149, 0
AA, REH, BHN, 31.87552, 34.81699, 401.869181149, 0
AA, REH, BHZ, 31.87552, 34.81699, 401.869181149, 0
AA, REH, BLE, 31.87552, 34.81699, 401.869181149, 0
AA, REH, BLN, 31.87552, 34.81699, 401.869181149, 0
AA, REH, BLZ, 31.87552, 34.81699, 401.869181149, 0
AA, ROD1, BHE, 29.58002, 34.97787, 645.110239585, 0
AA, ROD1, BHN, 29.58002, 34.97787, 645.110239585, 0
AA, ROD1, BHZ, 29.58002, 34.97787, 645.110239585, 0
AA, ROD1, BLE, 29.58002, 34.97787, 645.110239585, 0
AA, ROD1, BLN, 29.58002, 34.97787, 645.110239585, 0
AA, ROD1, BLZ, 29.58002, 34.97787, 645.110239585, 0
AA, ROI, BHE, 32.24821, 35.48796, 345.387611876, 0
AA, ROI, BHN, 32.24821, 35.48796, 345.387611876, 0
AA, ROI, BHZ, 32.24821, 35.48796, 345.387611876, 0
AA, ROI, BLE, 32.24821, 35.48796, 345.387611876, 0
AA, ROI, BLN, 32.24821, 35.48796, 345.387611876, 0
AA, ROI, BLZ, 32.24821, 35.48796, 345.387611876, 0
AA, ROSH, BHE, 32.97043, 35.54647, 265.98697788, 0
AA, ROSH, BHN, 32.97043, 35.54647, 265.98697788, 0
