dateEQ: 2008-01-04T15:48:38,
magnitude: 3,
Epicenter Lat: 32.0741,
Epicenter Long: 35.4862,
Depth: 5.2036
AA, YIT, BLE, 31.94663, 35.42334, 15.331839065, 0
AA, YIT, BLN, 31.94663, 35.42334, 15.331839065, 0
AA, YIT, BLZ, 31.94663, 35.42334, 15.331839065, 0
AA, ZEF, BHE, 32.96866, 35.49344, 99.2054433503, 0
AA, ZEF, BHN, 32.96866, 35.49344, 99.2054433503, 0
AA, ZEF, BHZ, 32.96866, 35.49344, 99.2054433503, 0
AA, ZEF, BLE, 32.96866, 35.49344, 99.2054433503, 0
AA, ZEF, BLN, 32.96866, 35.49344, 99.2054433503, 0
AA, ZEF, BLZ, 32.96866, 35.49344, 99.2054433503, 0
AA, ZOF, BHE, 30.56217, 35.18231, 170.112234518, 0
AA, ZOF, BHN, 30.56217, 35.18231, 170.112234518, 0
AA, ZOF, BHZ, 30.56217, 35.18231, 170.112234518, 0
AA, ZOF, BLE, 30.56217, 35.18231, 170.112234518, 0
AA, ZOF, BLN, 30.56217, 35.18231, 170.112234518, 0
AA, ZOF, BLZ, 30.56217, 35.18231, 170.112234518, 0
GE, GSI, BLE, 1.3039, 97.5755, 7326.68222336, 0
GE, GSI, BLN, 1.3039, 97.5755, 7326.68222336, 0
GE, GSI, BLZ, 1.3039, 97.5755, 7326.68222336, 0
GE, GSI, HLE, 1.3039, 97.5755, 7326.68222336, 0
GE, GSI, HLN, 1.3039, 97.5755, 7326.68222336, 0
GE, GSI, HLZ, 1.3039, 97.5755, 7326.68222336, 0
IS, AMAZ, BHE, 31.5325, 34.9154, 80.7963369096, 0
IS, AMAZ, BHN, 31.5325, 34.9154, 80.7963369096, 0
IS, AMAZ, BHZ, 31.5325, 34.9154, 80.7963369096, 0
IS, AMZI, BHE, 31.5325, 34.9154, 80.7963369096, 0
IS, AMZI, BHN, 31.5325, 34.9154, 80.7963369096, 0
IS, AMZI, BHZ, 31.5325, 34.9154, 80.7963369096, 0
IS, ARVI, SHZ, 30.64, 35.187, 161.534766354, 0
IS, ATR, SHE, 30.96825, 34.6431, 146.44632193, 0
IS, ATR, SHN, 30.96825, 34.6431, 146.44632193, 0
IS, ATR, SHZ, 30.96825, 34.6431, 146.44632193, 0
IS, BGIO, SHZ, 31.722, 35.092, 53.9896801338, 0
IS, BLGI, SHZ, 32.73338, 35.19126, 78.19826008, 0
IS, DRGI, SHZ, 31.593, 35.392, 54.08640441, 0
IS, DSI, SHE, 31.5933, 35.3922, 54.0504735371, 0.00102105952606
IS, DSI, SHN, 31.5933, 35.3922, 54.0504735371, 0.00236537762223
IS, DSI, SHZ, 31.5933, 35.3922, 54.0504735371, 0.000529142623955
IS, DSI0, SHZ, 31.5918, 35.3933, 54.1975486767, 3.51276529171e-07
IS, DSI1, SHZ, 31.59, 35.392, 54.4145425475, 0
IS, EIL, SHE, 29.6712, 34.952, 271.255666045, 0
IS, EIL, SHN, 29.6712, 34.952, 271.255666045, 0
IS, EIL, SHZ, 29.6712, 34.952, 271.255666045, 0
IS, ENGI, SHZ, 31.4695, 35.3944, 67.601376388, 0
IS, GEM, BHE, 33.2106, 35.66312, 127.124140811, 0
IS, GEM, BHN, 33.2106, 35.66312, 127.124140811, 0
IS, GEM, BHZ, 33.2106, 35.66312, 127.124140811, 0
IS, GLH, SHZ, 32.713, 35.649, 72.4868285256, 0
IS, GLH0, SHZ, 32.713, 35.649, 72.4868285256, 0
IS, HAFI, SHE, 32.778, 35.024, 89.3467993203, 0
IS, HAFI, SHN, 32.778, 35.024, 89.3467993203, 0
IS, HAFI, SHZ, 32.778, 35.024, 89.3467993203, 0
IS, HMDT, SHZ, 32.2529, 35.526, 20.1793554565, 7.55492110321e-06
IS, HNT0, SHZ, 33.0827, 35.1741, 115.625666406, 1.47268042747e-07
IS, HNTI, SHE, 33.0827, 35.1741, 115.625666406, 9.97954735657e-07
IS, HNTI, SHN, 33.0827, 35.1741, 115.625666406, 1.06177082269e-06
IS, HNTI, SHZ, 33.0827, 35.1741, 115.625666406, 0
IS, HRFI, BHE, 30.04, 35.03, 229.685899456, 9.84029466905e-05
IS, HRFI, BHN, 30.04, 35.03, 229.685899456, 8.08287725562e-05
IS, HRFI, BHZ, 30.04, 35.03, 229.685899456, 5.90454204643e-05
IS, HRI, SHZ, 33.266, 35.7338, 134.204750306, 0
IS, HRI0, SHZ, 33.266, 35.7338, 134.204750306, 2.62375767398e-06
IS, HRMI, SHE, 33.268, 35.75, 134.694008389, 0
IS, HRMI, SHN, 33.268, 35.75, 134.694008389, 0
IS, HRMI, SHZ, 33.268, 35.75, 134.694008389, 0
IS, HRSH, SHZ, 32.698, 35.28, 71.8555387842, 0
IS, JVI, SHE, 31.938, 35.339, 20.5232841765, 0
IS, JVI, SHN, 31.938, 35.339, 20.5232841765, 0
IS, JVI, SHZ, 31.938, 35.339, 20.5232841765, 0
IS, KER, SHZ, 30.9952, 34.4436, 155.285182659, 0
IS, KMT0, SHZ, 30.1177, 34.7257, 228.719989667, 0
IS, KMTI, SHE, 30.1043, 34.7251, 230.148835645, 0
