AA.DIM..BLZ | 2004-02-11T08:15:43.990000Z - 2004-02-11T08:15:44.075000Z | 200.0 Hz, 18 samples
AA.DIM..BLZ | 2004-02-11T08:15:44.110000Z - 2004-02-11T08:15:44.130000Z | 200.0 Hz, 5 samples
AA.DIM..BLZ | 2004-02-11T08:15:44.165000Z - 2004-02-11T08:15:44.980000Z | 200.0 Hz, 164 samples
AA.DIM..BLZ | 2004-02-11T08:15:45.010000Z - 2004-02-11T08:15:45.220000Z | 200.0 Hz, 43 samples
AA.DIM..BLZ | 2004-02-11T08:15:45.250000Z - 2004-02-11T08:15:45.270000Z | 200.0 Hz, 5 samples
AA.DIM..BLZ | 2004-02-11T08:15:45.330000Z - 2004-02-11T08:16:09.965000Z | 200.0 Hz, 4928 samples
AA.DIM..BLN | 2004-02-11T08:15:40.000000Z - 2004-02-11T08:15:40.000000Z | 200.0 Hz, 1 samples
AA.DIM..BLN | 2004-02-11T08:15:40.180000Z - 2004-02-11T08:15:40.190000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:40.390000Z - 2004-02-11T08:15:40.400000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:40.470000Z - 2004-02-11T08:15:40.480000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:40.635000Z - 2004-02-11T08:15:40.645000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:40.790000Z - 2004-02-11T08:15:40.800000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:40.895000Z - 2004-02-11T08:15:40.905000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:40.990000Z - 2004-02-11T08:15:41.115000Z | 200.0 Hz, 26 samples
AA.DIM..BLN | 2004-02-11T08:15:41.145000Z - 2004-02-11T08:15:41.155000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:41.230000Z - 2004-02-11T08:15:41.270000Z | 200.0 Hz, 9 samples
AA.DIM..BLN | 2004-02-11T08:15:41.310000Z - 2004-02-11T08:15:41.320000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:41.370000Z - 2004-02-11T08:15:41.385000Z | 200.0 Hz, 4 samples
AA.DIM..BLN | 2004-02-11T08:15:41.470000Z - 2004-02-11T08:15:41.480000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:41.785000Z - 2004-02-11T08:15:41.810000Z | 200.0 Hz, 6 samples
AA.DIM..BLN | 2004-02-11T08:15:41.905000Z - 2004-02-11T08:15:41.950000Z | 200.0 Hz, 10 samples
AA.DIM..BLN | 2004-02-11T08:15:42.060000Z - 2004-02-11T08:15:42.095000Z | 200.0 Hz, 8 samples
AA.DIM..BLN | 2004-02-11T08:15:42.210000Z - 2004-02-11T08:15:42.240000Z | 200.0 Hz, 7 samples
AA.DIM..BLN | 2004-02-11T08:15:42.270000Z - 2004-02-11T08:15:42.280000Z | 200.0 Hz, 3 samples
