Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type,Mw1,Mo,Mw2
10/20/2013,8:50:03,968,3.6,0,3.7,32.857,35.5671,4,Hula-Kinneret,F,3.7,,3.7
10/20/2013,12:54:06,416,3.5,0,3.6,32.8642,35.5675,5,Hula-Kinneret,F,3.6,,3.6
10/22/2013,5:40:50,441,3.3,0,3,32.8436,35.5632,3,Hula-Kinneret,F,3,,3
10/23/2013,12:33:53,314,3.3,0,3,29.4775,34.8924,10,Arava,EQ,3,,3
11/22/2013,12:00:26,513,3.6,4.1,3.6,35.2577,32.0236,40,E.Mediter.Sea,EQ,3.6,,3.6
11/25/2013,7:28:17,732,3,0,3,34.4785,32.3884,9,E.Mediter.Sea,EQ,3,,3
11/26/2013,13:17:58,830,2.6,0,3.1,34.6633,36.0048,19,Syria,EQ,3.1,,3.1
12/7/2013,11:22:45,261,3.2,0,3.1,31.4317,35.0535,2,Central-Israel,EQ,3.1,,3.1
12/12/2013,21:02:22,969,3.4,0,3.1,31.3613,35.2125,6,Central-Israel,F,3.1,,3.1
1/13/2014,13:01:45,45,3.6,0,3.3,32.9242,35.6345,8,Hula-Kinneret,F,3.3,,3.3
1/24/2014,12:31:08,602,3,0,3.1,29.7454,34.578,1,East-Sinai,EQ,3.1,,3.1
1/28/2014,3:19:17,947,4.3,4.3,4,28.5988,34.5826,1,Arnona-Dakar-Deep,EQ,4,,4
1/28/2014,3:52:12,487,3.3,0,2.8,28.5742,34.5792,1,Arnona-Dakar-Deep,EQ,2.8,,2.8
1/30/2014,6:39:02,687,3.2,0,2.9,27.8436,34.9038,20,Red-Sea,EQ,2.9,,2.9
2/3/2014,18:29:46,654,3.8,4.1,3.6,34.7238,32.7204,12,Cyprus,EQ,3.6,,3.6
2/11/2014,9:55:28,353,3,0,3,29.3182,32.6753,5,Suez,EQ,3,,3
