eventname,date,sta
20120517050838,2012-5-17T5_08_38,IS_MMC2__BHZ
20120517050838,2012-5-17T5_08_38,IS_MZDA__SHE
20120517050838,2012-5-17T5_08_38,IS_MMC7__BHZ
20120517050838,2012-5-17T5_08_38,IS_OFRI__SHN
20120517050838,2012-5-17T5_08_38,IS_BLGI__SHZ
20120517050838,2012-5-17T5_08_38,IS_BLGI__SHE
20120517050838,2012-5-17T5_08_38,IS_MZDA__SHN
20120517050838,2012-5-17T5_08_38,IS_BLGI__SHN
20120517050838,2012-5-17T5_08_38,IS_MZDA__SHZ
20120517050838,2012-5-17T5_08_38,IS_KRMI__SHZ
20120517050838,2012-5-17T5_08_38,IS_HNTI__SHZ
20120517050838,2012-5-17T5_08_38,IS_KRMI__SHN
20120517050838,2012-5-17T5_08_38,IS_MMC1__BHZ
20120517050838,2012-5-17T5_08_38,IS_HNTI__SHE
20120517050838,2012-5-17T5_08_38,IS_KRMI__SHE
20120517050838,2012-5-17T5_08_38,IS_HNTI__SHN
